nom,canonical_key,type,category,voie,severity,action
étravirine,etravirine,voie_hug_seule,inhibiteur,CYP2C9,medium,flag_review_HUG_pdf
éverolimus,everolimus,voie_hug_seule,inhibiteur,Pgp,medium,flag_review_HUG_pdf
exémestane,exemestane,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
exémestane,exemestane,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
fédratinib,fedratinib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
fédratinib,fedratinib,voie_cbip_seule,substrat,CYP2C19,medium,conserver_CBIP_confidence_medium
fédratinib,fedratinib,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
fédratinib,fedratinib,voie_cbip_seule,inhibiteur,CYP2C19,medium,conserver_CBIP_confidence_medium
fédratinib,fedratinib,voie_cbip_seule,inhibiteur,CYP2D6,medium,conserver_CBIP_confidence_medium
fédratinib,fedratinib,voie_cbip_seule,inhibiteur,CYP3A4/5,medium,conserver_CBIP_confidence_medium
felbamate,felbamate,molecule_absente_cbip,,,medium,conserver_HUG_flag_review
felbamate,felbamate,voie_hug_seule,substrat,CYP2E1,medium,flag_review_HUG_pdf
felbamate,felbamate,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
felbamate,felbamate,voie_hug_seule,substrat,Pgp,medium,flag_review_HUG_pdf
felbamate,felbamate,voie_hug_seule,inhibiteur,CYP2C19,medium,flag_review_HUG_pdf
felbamate,felbamate,voie_hug_seule,inducteur,CYP3A4/5,medium,flag_review_HUG_pdf
félodipine,felodipine,voie_hug_seule,substrat,Pgp,medium,flag_review_HUG_pdf
fenfluramine,fenfluramine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
fenfluramine,fenfluramine,voie_cbip_seule,substrat,CYP2C19,medium,conserver_CBIP_confidence_medium
fésotérodine,fesoterodine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
fésotérodine,fesoterodine,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
fézolinétant,fezolinetant,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
fézolinétant,fezolinetant,voie_cbip_seule,substrat,CYP1A2,medium,conserver_CBIP_confidence_medium
fidaxomicine,fidaxomicine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
fidaxomicine,fidaxomicine,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
finérénone,finerenone,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
