nom,canonical_key,type,category,voie,severity,action
co-trimoxazole,co-trimoxazole,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
co-trimoxazole,co-trimoxazole,voie_cbip_seule,inhibiteur,CYP2C8,medium,conserver_CBIP_confidence_medium
co-trimoxazole,co-trimoxazole,voie_cbip_seule,inhibiteur,CYP2C9,medium,conserver_CBIP_confidence_medium
cobicistat,cobicistat,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
cobicistat,cobicistat,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
cobicistat,cobicistat,voie_cbip_seule,inhibiteur,CYP2D6,medium,conserver_CBIP_confidence_medium
cobicistat,cobicistat,voie_cbip_seule,inhibiteur,CYP3A4/5,medium,conserver_CBIP_confidence_medium
cobimétinib,cobimetinib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
cobimétinib,cobimetinib,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
cobimétinib,cobimetinib,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
cobisistat,cobisistat,molecule_absente_cbip,,,medium,conserver_HUG_flag_review
cobisistat,cobisistat,voie_hug_seule,substrat,CYP2D6,medium,flag_review_HUG_pdf
cobisistat,cobisistat,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
cobisistat,cobisistat,voie_hug_seule,inhibiteur,CYP3A4/5,medium,flag_review_HUG_pdf
cobisistat,cobisistat,voie_hug_seule,inhibiteur,Pgp,medium,flag_review_HUG_pdf
codéine,codeine,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
cortisol,cortisol,molecule_absente_cbip,,,medium,conserver_HUG_flag_review
cortisol,cortisol,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
cortisol,cortisol,voie_hug_seule,substrat,Pgp,medium,flag_review_HUG_pdf
crizotinib,crizotinib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
crizotinib,crizotinib,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
crizotinib,crizotinib,voie_cbip_seule,inhibiteur,CYP3A4/5,medium,conserver_CBIP_confidence_medium
curcuma,curcuma,molecule_absente_cbip,,,medium,conserver_HUG_flag_review
curcuma,curcuma,voie_hug_seule,inhibiteur,CYP1A2,medium,flag_review_HUG_pdf
curcuma,curcuma,voie_hug_seule,inhibiteur,CYP2B6,medium,flag_review_HUG_pdf
curcuma,curcuma,voie_hug_seule,inhibiteur,CYP2C9,medium,flag_review_HUG_pdf
curcuma,curcuma,voie_hug_seule,inhibiteur,CYP2D6,medium,flag_review_HUG_pdf
curcuma,curcuma,voie_hug_seule,inhibiteur,CYP3A4/5,medium,flag_review_HUG_pdf
cyclophosphamide,cyclophosphamide,voie_hug_seule,substrat,CYP2C19,medium,flag_review_HUG_pdf
cyclophosphamide,cyclophosphamide,voie_hug_seule,substrat,CYP2C9,medium,flag_review_HUG_pdf
cyclophosphamide,cyclophosphamide,voie_hug_seule,inducteur,CYP2B6,medium,flag_review_HUG_pdf
cyclophosphamide,cyclophosphamide,voie_hug_seule,inducteur,CYP3A4/5,medium,flag_review_HUG_pdf
dabrafénib,dabrafenib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
dabrafénib,dabrafenib,voie_cbip_seule,substrat,CYP2C8,medium,conserver_CBIP_confidence_medium
dabrafénib,dabrafenib,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
dabrafénib,dabrafenib,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
dabrafénib,dabrafenib,voie_cbip_seule,inducteur,CYP2C9,medium,conserver_CBIP_confidence_medium
dabrafénib,dabrafenib,voie_cbip_seule,inducteur,CYP3A4/5,medium,conserver_CBIP_confidence_medium
dacarbazine,dacarbazine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
dacarbazine,dacarbazine,voie_cbip_seule,substrat,CYP1A2,medium,conserver_CBIP_confidence_medium
daclatasvir,daclatasvir,molecule_absente_cbip,,,medium,conserver_HUG_flag_review
daclatasvir,daclatasvir,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
daclatasvir,daclatasvir,voie_hug_seule,substrat,Pgp,medium,flag_review_HUG_pdf
daclatasvir,daclatasvir,voie_hug_seule,inhibiteur,Pgp,medium,flag_review_HUG_pdf
dapoxétine,dapoxetine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
dapoxétine,dapoxetine,voie_cbip_seule,substrat,CYP2D6,medium,conserver_CBIP_confidence_medium
darifénacine,darifenacine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
darifénacine,darifenacine,voie_cbip_seule,substrat,CYP2D6,medium,conserver_CBIP_confidence_medium
darifénacine,darifenacine,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
darolutamide,darolutamide,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
darolutamide,darolutamide,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
darolutamide,darolutamide,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
darunavir,darunavir,voie_hug_seule,substrat,Pgp,medium,flag_review_HUG_pdf
darunavir,darunavir,puissance_discordante,inhibiteur,CYP3A4/5,high,review_manuel_prioritaire
dasatinib,dasatinib,voie_hug_seule,inhibiteur,CYP2C8,medium,flag_review_HUG_pdf
dasatinib,dasatinib,voie_hug_seule,inhibiteur,CYP3A4/5,medium,flag_review_HUG_pdf
daunorubicine,daunorubicine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
daunorubicine,daunorubicine,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
déférasirox,deferasirox,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
déférasirox,deferasirox,voie_cbip_seule,substrat,CYP1A2,medium,conserver_CBIP_confidence_medium
déférasirox,deferasirox,voie_cbip_seule,inhibiteur,CYP1A2,medium,conserver_CBIP_confidence_medium
déférasirox,deferasirox,voie_cbip_seule,inhibiteur,CYP2C8,medium,conserver_CBIP_confidence_medium
desfésotérodine,desfesoterodine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
desfésotérodine,desfesoterodine,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
desloratadine,desloratadine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
desloratadine,desloratadine,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
désogestrel,desogestrel,voie_hug_seule,substrat,CYP2C19,medium,flag_review_HUG_pdf
désogestrel,desogestrel,voie_hug_seule,substrat,CYP2C9,medium,flag_review_HUG_pdf
désogestrel,desogestrel,voie_hug_seule,inhibiteur,CYP2C19,medium,flag_review_HUG_pdf
désogestrel,desogestrel,voie_hug_seule,inhibiteur,CYP3A4/5,medium,flag_review_HUG_pdf
désogestrel,desogestrel,voie_hug_seule,inhibiteur,Pgp,medium,flag_review_HUG_pdf
dexaméthasone,dexamethasone,voie_hug_seule,inducteur,CYP2B6,medium,flag_review_HUG_pdf
dexaméthasone,dexamethasone,voie_hug_seule,inducteur,CYP2C19,medium,flag_review_HUG_pdf
dexaméthasone,dexamethasone,voie_hug_seule,inducteur,CYP2C8,medium,flag_review_HUG_pdf
dexaméthasone,dexamethasone,voie_hug_seule,inducteur,CYP2C9,medium,flag_review_HUG_pdf
dexaméthasone,dexamethasone,voie_hug_seule,inducteur,CYP3A4/5,medium,flag_review_HUG_pdf
dexaméthasone,dexamethasone,voie_hug_seule,inducteur,Pgp,medium,flag_review_HUG_pdf
dextrométhorphane,dextromethorphane,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
diazépam,diazepam,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
diclofénac,diclofenac,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
dihydrocodéine,dihydrocodeine,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
dihydroergotamine,dihydroergotamine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
dihydroergotamine,dihydroergotamine,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
diltiazem,diltiazem,voie_hug_seule,substrat,CYP2D6,medium,flag_review_HUG_pdf
diltiazem,diltiazem,puissance_discordante,inhibiteur,CYP3A4/5,high,review_manuel_prioritaire
diphenhydramine,diphenhydramine,voie_hug_seule,substrat,CYP1A2,medium,flag_review_HUG_pdf
diphenhydramine,diphenhydramine,voie_hug_seule,substrat,CYP2C19,medium,flag_review_HUG_pdf
diphenhydramine,diphenhydramine,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
disopyramide,disopyramide,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
